Higher,Lower
A♠ K♥,K♠ Q♠
A♠ K♥,K♠ J♠
A♠ K♥,K♠ T♠
A♠ K♥,K♠ 9♠
A♠ K♥,K♠ 8♠
A♠ K♥,K♠ 7♠
A♠ K♥,K♠ 6♠
A♠ K♥,K♠ 5♠
A♠ K♥,K♠ 4♠
A♠ K♥,K♠ 3♠
A♠ K♥,K♠ 2♠
A♠ K♥,Q♠ J♠
A♠ K♥,Q♠ T♠
A♠ K♥,Q♠ 9♠
A♠ K♥,Q♠ 8♠
A♠ K♥,Q♠ 7♠
A♠ K♥,Q♠ 6♠
A♠ K♥,Q♠ 5♠
A♠ K♥,Q♠ 4♠
A♠ K♥,Q♠ 3♠
A♠ K♥,Q♠ 2♠
A♠ K♥,J♠ T♠
A♠ K♥,J♠ 9♠
A♠ K♥,J♠ 8♠
A♠ K♥,J♠ 7♠
A♠ K♥,J♠ 6♠
A♠ K♥,J♠ 5♠
A♠ K♥,J♠ 4♠
A♠ K♥,J♠ 3♠
A♠ K♥,J♠ 2♠
A♠ K♥,T♠ 9♠
A♠ K♥,T♠ 8♠
A♠ K♥,T♠ 7♠
A♠ K♥,T♠ 6♠
A♠ K♥,T♠ 5♠
A♠ K♥,T♠ 4♠
A♠ K♥,T♠ 3♠
A♠ K♥,T♠ 2♠
A♠ K♥,9♠ 8♠
A♠ K♥,9♠ 7♠
A♠ K♥,9♠ 6♠
A♠ K♥,9♠ 5♠
A♠ K♥,9♠ 4♠
A♠ K♥,9♠ 3♠
A♠ K♥,9♠ 2♠
A♠ K♥,8♠ 7♠
A♠ K♥,8♠ 6♠
A♠ K♥,8♠ 5♠
A♠ K♥,8♠ 4♠
A♠ K♥,8♠ 3♠
A♠ K♥,8♠ 2♠
A♠ K♥,7♠ 6♠
A♠ K♥,7♠ 5♠
A♠ K♥,7♠ 4♠
A♠ K♥,7♠ 3♠
A♠ K♥,7♠ 2♠
A♠ K♥,6♠ 5♠
A♠ K♥,6♠ 4♠
A♠ K♥,6♠ 3♠
A♠ K♥,6♠ 2♠
A♠ K♥,5♠ 4♠
A♠ K♥,5♠ 3♠
A♠ K♥,5♠ 2♠
A♠ K♥,4♠ 3♠
A♠ K♥,4♠ 2♠
A♠ K♥,3♠ 2♠
A♠ K♦,K♠ Q♠
A♠ K♦,K♠ J♠
