Higher,Lower,Texture
A♠ K♠,Q♠ J♠,Type1111
A♠ K♠,Q♠ T♠,Type1111
A♠ K♠,Q♠ 9♠,Type1111
A♠ K♠,Q♠ 8♠,Type1111
A♠ K♠,Q♠ 7♠,Type1111
A♠ K♠,Q♠ 6♠,Type1111
A♠ K♠,Q♠ 5♠,Type1111
A♠ K♠,Q♠ 4♠,Type1111
A♠ K♠,Q♠ 3♠,Type1111
A♠ K♠,Q♠ 2♠,Type1111
A♠ K♠,J♠ T♠,Type1111
A♠ K♠,J♠ 9♠,Type1111
A♠ K♠,J♠ 8♠,Type1111
A♠ K♠,J♠ 7♠,Type1111
A♠ K♠,J♠ 6♠,Type1111
A♠ K♠,J♠ 5♠,Type1111
A♠ K♠,J♠ 4♠,Type1111
A♠ K♠,J♠ 3♠,Type1111
A♠ K♠,J♠ 2♠,Type1111
A♠ K♠,T♠ 9♠,Type1111
A♠ K♠,T♠ 8♠,Type1111
A♠ K♠,T♠ 7♠,Type1111
A♠ K♠,T♠ 6♠,Type1111
A♠ K♠,T♠ 5♠,Type1111
A♠ K♠,T♠ 4♠,Type1111
A♠ K♠,T♠ 3♠,Type1111
A♠ K♠,T♠ 2♠,Type1111
A♠ K♠,9♠ 8♠,Type1111
A♠ K♠,9♠ 7♠,Type1111
A♠ K♠,9♠ 6♠,Type1111
A♠ K♠,9♠ 5♠,Type1111
A♠ K♠,9♠ 4♠,Type1111
A♠ K♠,9♠ 3♠,Type1111
A♠ K♠,9♠ 2♠,Type1111
A♠ K♠,8♠ 7♠,Type1111
A♠ K♠,8♠ 6♠,Type1111
A♠ K♠,8♠ 5♠,Type1111
A♠ K♠,8♠ 4♠,Type1111
A♠ K♠,8♠ 3♠,Type1111
A♠ K♠,8♠ 2♠,Type1111
A♠ K♠,7♠ 6♠,Type1111
A♠ K♠,7♠ 5♠,Type1111
A♠ K♠,7♠ 4♠,Type1111
A♠ K♠,7♠ 3♠,Type1111
A♠ K♠,7♠ 2♠,Type1111
A♠ K♠,6♠ 5♠,Type1111
A♠ K♠,6♠ 4♠,Type1111
A♠ K♠,6♠ 3♠,Type1111
A♠ K♠,6♠ 2♠,Type1111
A♠ K♠,5♠ 4♠,Type1111
A♠ K♠,5♠ 3♠,Type1111
A♠ K♠,5♠ 2♠,Type1111
A♠ K♠,4♠ 3♠,Type1111
A♠ K♠,4♠ 2♠,Type1111
