Higher,Lower,Texture
A♠ A♥,K♠ K♥,Type1212
A♠ A♥,K♠ Q♥,Type1212
A♠ A♥,K♠ J♥,Type1212
A♠ A♥,K♠ T♥,Type1212
A♠ A♥,K♠ 9♥,Type1212
A♠ A♥,K♠ 8♥,Type1212
A♠ A♥,K♠ 7♥,Type1212
A♠ A♥,K♠ 6♥,Type1212
A♠ A♥,K♠ 5♥,Type1212
A♠ A♥,K♠ 4♥,Type1212
A♠ A♥,K♠ 3♥,Type1212
A♠ A♥,K♠ 2♥,Type1212
A♠ A♥,K♥ Q♠,Type1212
A♠ A♥,K♥ J♠,Type1212
A♠ A♥,K♥ T♠,Type1212
A♠ A♥,K♥ 9♠,Type1212
A♠ A♥,K♥ 8♠,Type1212
A♠ A♥,K♥ 7♠,Type1212
A♠ A♥,K♥ 6♠,Type1212
A♠ A♥,K♥ 5♠,Type1212
A♠ A♥,K♥ 4♠,Type1212
A♠ A♥,K♥ 3♠,Type1212
A♠ A♥,K♥ 2♠,Type1212
A♠ A♥,Q♠ Q♥,Type1212
A♠ A♥,Q♠ J♥,Type1212
A♠ A♥,Q♠ T♥,Type1212
A♠ A♥,Q♠ 9♥,Type1212
A♠ A♥,Q♠ 8♥,Type1212
A♠ A♥,Q♠ 7♥,Type1212
A♠ A♥,Q♠ 6♥,Type1212
A♠ A♥,Q♠ 5♥,Type1212
A♠ A♥,Q♠ 4♥,Type1212
A♠ A♥,Q♠ 3♥,Type1212
A♠ A♥,Q♠ 2♥,Type1212
A♠ A♥,Q♥ J♠,Type1212
A♠ A♥,Q♥ T♠,Type1212
A♠ A♥,Q♥ 9♠,Type1212
A♠ A♥,Q♥ 8♠,Type1212
A♠ A♥,Q♥ 7♠,Type1212
A♠ A♥,Q♥ 6♠,Type1212
A♠ A♥,Q♥ 5♠,Type1212
A♠ A♥,Q♥ 4♠,Type1212
A♠ A♥,Q♥ 3♠,Type1212
A♠ A♥,Q♥ 2♠,Type1212
A♠ A♥,J♠ J♥,Type1212
A♠ A♥,J♠ T♥,Type1212
A♠ A♥,J♠ 9♥,Type1212
A♠ A♥,J♠ 8♥,Type1212
A♠ A♥,J♠ 7♥,Type1212
A♠ A♥,J♠ 6♥,Type1212
A♠ A♥,J♠ 5♥,Type1212
A♠ A♥,J♠ 4♥,Type1212
A♠ A♥,J♠ 3♥,Type1212
A♠ A♥,J♠ 2♥,Type1212
A♠ A♥,J♥ T♠,Type1212
A♠ A♥,J♥ 9♠,Type1212
A♠ A♥,J♥ 8♠,Type1212
A♠ A♥,J♥ 7♠,Type1212
A♠ A♥,J♥ 6♠,Type1212
A♠ A♥,J♥ 5♠,Type1212
A♠ A♥,J♥ 4♠,Type1212
A♠ A♥,J♥ 3♠,Type1212
A♠ A♥,J♥ 2♠,Type1212
A♠ A♥,T♠ T♥,Type1212
A♠ A♥,T♠ 9♥,Type1212
A♠ A♥,T♠ 8♥,Type1212
A♠ A♥,T♠ 7♥,Type1212
A♠ A♥,T♠ 6♥,Type1212
A♠ A♥,T♠ 5♥,Type1212
A♠ A♥,T♠ 4♥,Type1212
A♠ A♥,T♠ 3♥,Type1212
A♠ A♥,T♠ 2♥,Type1212
A♠ A♥,T♥ 9♠,Type1212
A♠ A♥,T♥ 8♠,Type1212
A♠ A♥,T♥ 7♠,Type1212
A♠ A♥,T♥ 6♠,Type1212
A♠ A♥,T♥ 5♠,Type1212
A♠ A♥,T♥ 4♠,Type1212
A♠ A♥,T♥ 3♠,Type1212
A♠ A♥,T♥ 2♠,Type1212
A♠ A♥,9♠ 9♥,Type1212
A♠ A♥,9♠ 8♥,Type1212
A♠ A♥,9♠ 7♥,Type1212
A♠ A♥,9♠ 6♥,Type1212
A♠ A♥,9♠ 5♥,Type1212
A♠ A♥,9♠ 4♥,Type1212
A♠ A♥,9♠ 3♥,Type1212
A♠ A♥,9♠ 2♥,Type1212
A♠ A♥,9♥ 8♠,Type1212
A♠ A♥,9♥ 7♠,Type1212
A♠ A♥,9♥ 6♠,Type1212
A♠ A♥,9♥ 5♠,Type1212
A♠ A♥,9♥ 4♠,Type1212
A♠ A♥,9♥ 3♠,Type1212
