Higher,Lower,Texture
A♠ K♠,A♥ K♥,Type1122
A♠ K♠,A♥ Q♥,Type1122
A♠ K♠,A♥ J♥,Type1122
A♠ K♠,A♥ T♥,Type1122
A♠ K♠,A♥ 9♥,Type1122
A♠ K♠,A♥ 8♥,Type1122
A♠ K♠,A♥ 7♥,Type1122
A♠ K♠,A♥ 6♥,Type1122
A♠ K♠,A♥ 5♥,Type1122
A♠ K♠,A♥ 4♥,Type1122
A♠ K♠,A♥ 3♥,Type1122
A♠ K♠,A♥ 2♥,Type1122
A♠ K♠,A♦ K♦,Type1122
A♠ K♠,A♦ Q♦,Type1122
A♠ K♠,A♦ J♦,Type1122
A♠ K♠,A♦ T♦,Type1122
A♠ K♠,A♦ 9♦,Type1122
A♠ K♠,A♦ 8♦,Type1122
A♠ K♠,A♦ 7♦,Type1122
A♠ K♠,A♦ 6♦,Type1122
A♠ K♠,A♦ 5♦,Type1122
A♠ K♠,A♦ 4♦,Type1122
A♠ K♠,A♦ 3♦,Type1122
A♠ K♠,A♦ 2♦,Type1122
A♠ K♠,A♣ K♣,Type1122
A♠ K♠,A♣ Q♣,Type1122
A♠ K♠,A♣ J♣,Type1122
A♠ K♠,A♣ T♣,Type1122
A♠ K♠,A♣ 9♣,Type1122
A♠ K♠,A♣ 8♣,Type1122
A♠ K♠,A♣ 7♣,Type1122
A♠ K♠,A♣ 6♣,Type1122
A♠ K♠,A♣ 5♣,Type1122
A♠ K♠,A♣ 4♣,Type1122
A♠ K♠,A♣ 3♣,Type1122
A♠ K♠,A♣ 2♣,Type1122
A♠ K♠,K♥ Q♥,Type1122
A♠ K♠,K♥ J♥,Type1122
A♠ K♠,K♥ T♥,Type1122
A♠ K♠,K♥ 9♥,Type1122
A♠ K♠,K♥ 8♥,Type1122
A♠ K♠,K♥ 7♥,Type1122
A♠ K♠,K♥ 6♥,Type1122
A♠ K♠,K♥ 5♥,Type1122
A♠ K♠,K♥ 4♥,Type1122
A♠ K♠,K♥ 3♥,Type1122
A♠ K♠,K♥ 2♥,Type1122
A♠ K♠,K♦ Q♦,Type1122
A♠ K♠,K♦ J♦,Type1122
A♠ K♠,K♦ T♦,Type1122
A♠ K♠,K♦ 9♦,Type1122
A♠ K♠,K♦ 8♦,Type1122
A♠ K♠,K♦ 7♦,Type1122
A♠ K♠,K♦ 6♦,Type1122
A♠ K♠,K♦ 5♦,Type1122
A♠ K♠,K♦ 4♦,Type1122
A♠ K♠,K♦ 3♦,Type1122
A♠ K♠,K♦ 2♦,Type1122
A♠ K♠,K♣ Q♣,Type1122
A♠ K♠,K♣ J♣,Type1122
A♠ K♠,K♣ T♣,Type1122
A♠ K♠,K♣ 9♣,Type1122
A♠ K♠,K♣ 8♣,Type1122
A♠ K♠,K♣ 7♣,Type1122
A♠ K♠,K♣ 6♣,Type1122
A♠ K♠,K♣ 5♣,Type1122
A♠ K♠,K♣ 4♣,Type1122
A♠ K♠,K♣ 3♣,Type1122
A♠ K♠,K♣ 2♣,Type1122
A♠ K♠,Q♥ J♥,Type1122
A♠ K♠,Q♥ T♥,Type1122
A♠ K♠,Q♥ 9♥,Type1122
A♠ K♠,Q♥ 8♥,Type1122
A♠ K♠,Q♥ 7♥,Type1122
A♠ K♠,Q♥ 6♥,Type1122
A♠ K♠,Q♥ 5♥,Type1122
A♠ K♠,Q♥ 4♥,Type1122
A♠ K♠,Q♥ 3♥,Type1122
A♠ K♠,Q♥ 2♥,Type1122
A♠ K♠,Q♦ J♦,Type1122
A♠ K♠,Q♦ T♦,Type1122
A♠ K♠,Q♦ 9♦,Type1122
A♠ K♠,Q♦ 8♦,Type1122
A♠ K♠,Q♦ 7♦,Type1122
A♠ K♠,Q♦ 6♦,Type1122
A♠ K♠,Q♦ 5♦,Type1122
A♠ K♠,Q♦ 4♦,Type1122
A♠ K♠,Q♦ 3♦,Type1122
A♠ K♠,Q♦ 2♦,Type1122
A♠ K♠,Q♣ J♣,Type1122
A♠ K♠,Q♣ T♣,Type1122
A♠ K♠,Q♣ 9♣,Type1122
A♠ K♠,Q♣ 8♣,Type1122
A♠ K♠,Q♣ 7♣,Type1122
A♠ K♠,Q♣ 6♣,Type1122
A♠ K♠,Q♣ 5♣,Type1122
A♠ K♠,Q♣ 4♣,Type1122
A♠ K♠,Q♣ 3♣,Type1122
A♠ K♠,Q♣ 2♣,Type1122
A♠ K♠,J♥ T♥,Type1122
A♠ K♠,J♥ 9♥,Type1122
A♠ K♠,J♥ 8♥,Type1122
A♠ K♠,J♥ 7♥,Type1122
A♠ K♠,J♥ 6♥,Type1122
A♠ K♠,J♥ 5♥,Type1122
A♠ K♠,J♥ 4♥,Type1122
A♠ K♠,J♥ 3♥,Type1122
A♠ K♠,J♥ 2♥,Type1122
A♠ K♠,J♦ T♦,Type1122
A♠ K♠,J♦ 9♦,Type1122
A♠ K♠,J♦ 8♦,Type1122
A♠ K♠,J♦ 7♦,Type1122
A♠ K♠,J♦ 6♦,Type1122
A♠ K♠,J♦ 5♦,Type1122
A♠ K♠,J♦ 4♦,Type1122
A♠ K♠,J♦ 3♦,Type1122
A♠ K♠,J♦ 2♦,Type1122
A♠ K♠,J♣ T♣,Type1122
A♠ K♠,J♣ 9♣,Type1122
A♠ K♠,J♣ 8♣,Type1122
A♠ K♠,J♣ 7♣,Type1122
A♠ K♠,J♣ 6♣,Type1122
A♠ K♠,J♣ 5♣,Type1122
A♠ K♠,J♣ 4♣,Type1122
A♠ K♠,J♣ 3♣,Type1122
A♠ K♠,J♣ 2♣,Type1122
A♠ K♠,T♥ 9♥,Type1122
A♠ K♠,T♥ 8♥,Type1122
A♠ K♠,T♥ 7♥,Type1122
A♠ K♠,T♥ 6♥,Type1122
A♠ K♠,T♥ 5♥,Type1122
A♠ K♠,T♥ 4♥,Type1122
A♠ K♠,T♥ 3♥,Type1122
A♠ K♠,T♥ 2♥,Type1122
A♠ K♠,T♦ 9♦,Type1122
A♠ K♠,T♦ 8♦,Type1122
A♠ K♠,T♦ 7♦,Type1122
A♠ K♠,T♦ 6♦,Type1122
A♠ K♠,T♦ 5♦,Type1122
A♠ K♠,T♦ 4♦,Type1122
A♠ K♠,T♦ 3♦,Type1122
A♠ K♠,T♦ 2♦,Type1122
A♠ K♠,T♣ 9♣,Type1122
A♠ K♠,T♣ 8♣,Type1122
A♠ K♠,T♣ 7♣,Type1122
A♠ K♠,T♣ 6♣,Type1122
A♠ K♠,T♣ 5♣,Type1122
A♠ K♠,T♣ 4♣,Type1122
A♠ K♠,T♣ 3♣,Type1122
A♠ K♠,T♣ 2♣,Type1122
A♠ K♠,9♥ 8♥,Type1122
A♠ K♠,9♥ 7♥,Type1122
A♠ K♠,9♥ 6♥,Type1122
A♠ K♠,9♥ 5♥,Type1122
A♠ K♠,9♥ 4♥,Type1122
A♠ K♠,9♥ 3♥,Type1122
A♠ K♠,9♥ 2♥,Type1122
A♠ K♠,9♦ 8♦,Type1122
A♠ K♠,9♦ 7♦,Type1122
A♠ K♠,9♦ 6♦,Type1122
A♠ K♠,9♦ 5♦,Type1122
A♠ K♠,9♦ 4♦,Type1122
A♠ K♠,9♦ 3♦,Type1122
A♠ K♠,9♦ 2♦,Type1122
A♠ K♠,9♣ 8♣,Type1122
A♠ K♠,9♣ 7♣,Type1122
A♠ K♠,9♣ 6♣,Type1122
A♠ K♠,9♣ 5♣,Type1122
A♠ K♠,9♣ 4♣,Type1122
A♠ K♠,9♣ 3♣,Type1122
A♠ K♠,9♣ 2♣,Type1122
A♠ K♠,8♥ 7♥,Type1122
A♠ K♠,8♥ 6♥,Type1122
A♠ K♠,8♥ 5♥,Type1122
A♠ K♠,8♥ 4♥,Type1122
A♠ K♠,8♥ 3♥,Type1122
A♠ K♠,8♥ 2♥,Type1122
A♠ K♠,8♦ 7♦,Type1122
A♠ K♠,8♦ 6♦,Type1122
A♠ K♠,8♦ 5♦,Type1122
A♠ K♠,8♦ 4♦,Type1122
A♠ K♠,8♦ 3♦,Type1122
A♠ K♠,8♦ 2♦,Type1122
A♠ K♠,8♣ 7♣,Type1122
A♠ K♠,8♣ 6♣,Type1122
A♠ K♠,8♣ 5♣,Type1122
A♠ K♠,8♣ 4♣,Type1122
A♠ K♠,8♣ 3♣,Type1122
A♠ K♠,8♣ 2♣,Type1122
A♠ K♠,7♥ 6♥,Type1122
A♠ K♠,7♥ 5♥,Type1122
A♠ K♠,7♥ 4♥,Type1122
A♠ K♠,7♥ 3♥,Type1122
A♠ K♠,7♥ 2♥,Type1122
A♠ K♠,7♦ 6♦,Type1122
A♠ K♠,7♦ 5♦,Type1122
A♠ K♠,7♦ 4♦,Type1122
A♠ K♠,7♦ 3♦,Type1122
A♠ K♠,7♦ 2♦,Type1122
A♠ K♠,7♣ 6♣,Type1122
A♠ K♠,7♣ 5♣,Type1122
A♠ K♠,7♣ 4♣,Type1122
A♠ K♠,7♣ 3♣,Type1122
A♠ K♠,7♣ 2♣,Type1122
A♠ K♠,6♥ 5♥,Type1122
A♠ K♠,6♥ 4♥,Type1122
A♠ K♠,6♥ 3♥,Type1122
A♠ K♠,6♥ 2♥,Type1122
A♠ K♠,6♦ 5♦,Type1122
A♠ K♠,6♦ 4♦,Type1122
A♠ K♠,6♦ 3♦,Type1122
A♠ K♠,6♦ 2♦,Type1122
A♠ K♠,6♣ 5♣,Type1122
A♠ K♠,6♣ 4♣,Type1122
A♠ K♠,6♣ 3♣,Type1122
A♠ K♠,6♣ 2♣,Type1122
A♠ K♠,5♥ 4♥,Type1122
A♠ K♠,5♥ 3♥,Type1122
A♠ K♠,5♥ 2♥,Type1122
A♠ K♠,5♦ 4♦,Type1122
A♠ K♠,5♦ 3♦,Type1122
A♠ K♠,5♦ 2♦,Type1122
A♠ K♠,5♣ 4♣,Type1122
A♠ K♠,5♣ 3♣,Type1122
A♠ K♠,5♣ 2♣,Type1122
A♠ K♠,4♥ 3♥,Type1122
A♠ K♠,4♥ 2♥,Type1122
A♠ K♠,4♦ 3♦,Type1122
A♠ K♠,4♦ 2♦,Type1122
A♠ K♠,4♣ 3♣,Type1122
A♠ K♠,4♣ 2♣,Type1122
A♠ K♠,3♥ 2♥,Type1122
A♠ K♠,3♦ 2♦,Type1122
A♠ K♠,3♣ 2♣,Type1122
A♠ Q♠,A♥ K♥,Type1122
A♠ Q♠,A♥ Q♥,Type1122
A♠ Q♠,A♥ J♥,Type1122
A♠ Q♠,A♥ T♥,Type1122
A♠ Q♠,A♥ 9♥,Type1122
A♠ Q♠,A♥ 8♥,Type1122
A♠ Q♠,A♥ 7♥,Type1122
A♠ Q♠,A♥ 6♥,Type1122
A♠ Q♠,A♥ 5♥,Type1122
A♠ Q♠,A♥ 4♥,Type1122
A♠ Q♠,A♥ 3♥,Type1122
A♠ Q♠,A♥ 2♥,Type1122
A♠ Q♠,A♦ K♦,Type1122
A♠ Q♠,A♦ Q♦,Type1122
A♠ Q♠,A♦ J♦,Type1122
A♠ Q♠,A♦ T♦,Type1122
A♠ Q♠,A♦ 9♦,Type1122
A♠ Q♠,A♦ 8♦,Type1122
A♠ Q♠,A♦ 7♦,Type1122
A♠ Q♠,A♦ 6♦,Type1122
A♠ Q♠,A♦ 5♦,Type1122
A♠ Q♠,A♦ 4♦,Type1122
