Higher,Lower,HigherWins,LowerWins,Ties
70368748371968,549890031616,1127702,560725,23877
34359738496,1099511627777,1127702,560725,23877
281474977759232,8194,1127702,560725,23877
8589935104,67125248,1127702,560725,23877
33558528,1407374883553280,1399532,306507,6265
2252074691592192,20971520,1399532,306507,6265
274911461376,2560,1399532,306507,6265
2251799813689344,171798691840,1399532,306507,6265
4398046512128,1048578,1087159,608240,16905
68719542272,70368878395392,1087159,608240,16905
8388616,8589950976,1087159,608240,16905
562950490292224,1099511627904,1087159,608240,16905
33554464,4398048608256,1090527,614366,7411
17592186048512,536871168,1090527,614366,7411
2251801961168896,140737488420864,1090527,614366,7411
274878169088,17179869192,1090527,614366,7411
2251816993554432,598134325510144,1046324,657879,8101
140737488359424,1088,1046324,657879,8101
33554688,8912896,1046324,657879,8101
274880004096,73014444032,1046324,657879,8101
25769803776,1048832,122559,37216,1552529
211106232532992,8592031744,122559,37216,1552529
70385924046848,384,122559,37216,1552529
140737488355456,3145728,122559,37216,1552529
39582418599936,9895604649984,1053721,573486,85097
4831838208,1207959552,1053721,573486,85097
589824,147456,1053721,573486,85097
72,18,1053721,573486,85097
2251801961168896,12582912,889383,816207,6714
274878169088,1536,889383,816207,6714
33554464,844424930131968,889383,816207,6714
17592186048512,103079215104,889383,816207,6714
137506062336,16777218,454103,455368,802833
1126449662656512,137438969856,454103,455368,802833
1125900041060352,2049,454103,455368,802833
16785408,1099511629824,454103,455368,802833
20971520,545259520,1137809,561935,12560
1407374883553280,562949953421320,1137809,561935,12560
2560,66560,1137809,561935,12560
171798691840,4466765987840,1137809,561935,12560
2097664,73728,1079063,612152,21089
281474976710912,9,1079063,612152,21089
17184063488,603979776,1079063,612152,21089
140771848093696,4947802324992,1079063,612152,21089
137438953536,35734127902720,1184079,466398,61827
35184388866048,4362076160,1184079,466398,61827
1125899907366912,65,1184079,466398,61827
4294969344,532480,1184079,466398,61827
137438953984,4210688,1194146,466588,51570
281474993487872,514,1194146,466588,51570
1125899911036928,34493956096,1194146,466588,51570
34359740416,282574488338432,1194146,466588,51570
2251799815782400,70368744177672,1136668,568079,7557
17179873280,65664,1136668,568079,7557
140737521909760,537919488,1136668,568079,7557
274877907200,4406636445696,1136668,568079,7557
1125899906859008,1099528404992,12668,12668,1686968
137438953474,134219776,12668,12668,1686968
137438957568,134348800,1106175,598013,8116
1125899940397056,1100585369600,1106175,598013,8116
274877908992,8796093022210,1106175,598013,8116
2251799830462464,16400,1106175,598013,8116
17039360,8589934720,551326,1154670,6308
139586437120,70368745226240,551326,1154670,6308
1143492092887040,8589934720,551326,1154670,6308
2080,70368745226240,551326,1154670,6308
68720525312,4718592,1026032,670042,16230
562958543355904,38654705664,1026032,670042,16230
70368744178688,316659348799488,1026032,670042,16230
8388736,576,1026032,670042,16230
1125899906842625,17314086912,942399,756934,12971
687194767360,2113536,942399,756934,12971
10240,141836999983104,942399,756934,12971
83886080,258,942399,756934,12971
137439477760,2199023255553,1102991,597097,12216
16777280,550024249344,1102991,597097,12216
35184372090880,67141632,1102991,597097,12216
1125904201809920,8196,1102991,597097,12216
140754668224512,1342177280,1365099,338024,9181
17181966336,163840,1365099,338024,9181
140737488355584,10995116277760,1365099,338024,9181
2097408,20,1365099,338024,9181
35253091565568,1074790400,1064451,632647,15206
562949953421376,8804682956800,1064451,632647,15206
4303355904,131200,1064451,632647,15206
525312,70368744177680,1064451,632647,15206
2049,8796093022336,994812,704807,12685
16785408,1048592,994812,704807,12685
1126449662656512,70369817919488,994812,704807,12685
137506062336,8590065664,994812,704807,12685
140737492549632,21474836480,1133580,493808,84916
17179869696,2621440,1133580,493808,84916
34359738624,175921860444160,1133580,493808,84916
281474978807808,320,1133580,493808,84916
1090519040,633318697598976,917728,784255,10321
8933531975680,1152,917728,784255,10321
133120,77309411328,917728,784255,10321
1125899906842640,9437184,917728,784255,10321
34359754752,8796093030400,1070569,616734,25001
281475110928384,67108880,1070569,616734,25001
1099511628288,549755944960,1070569,616734,25001
4194306,1073741825,1070569,616734,25001
4196352,34359738370,1279599,378072,54633
281612415664128,134218240,1279599,378072,54633
1125899906843136,1099515822080,1279599,378072,54633
34376515584,281474976727040,1279599,378072,54633
35651584,2199560126464,1108295,595903,8106
4352,268500992,1108295,595903,8106
2392537302040576,32776,1108295,595903,8106
292057776128,4398046511108,1108295,595903,8106
68719738880,140737488355392,969462,728804,14038
562952100904960,524544,969462,728804,14038
8388640,35201551958016,969462,728804,14038
17592186045440,4297064448,969462,728804,14038
17594333528064,4399120252928,1462217,225857,24230
17592186044448,8796093022216,1462217,225857,24230
2147745792,537001984,1462217,225857,24230
262176,65552,1462217,225857,24230
36864,2099200,977388,725738,9178
2251799813685252,1125899906842880,977388,725738,9178
2473901162496,140874927308800,977388,725738,9178
301989888,17196646400,977388,725738,9178
526336,17592186044417,1156257,544247,11800
4311744512,8224,1156257,544247,11800
35321811042304,67371008,1156257,544247,11800
1125899906842688,551903297536,1156257,544247,11800
34363932672,73728,1388995,314383,8926
281474976711168,4947802324992,1388995,314383,8926
4194816,9,1388995,314383,8926
281509336449024,603979776,1388995,314383,8926
34359738370,1103806595072,1217771,403718,90815
281474976727040,35184372088834,1217771,403718,90815
1099515822080,134742016,1217771,403718,90815
134218240,16448,1217771,403718,90815
274877906960,8388736,977341,728127,6836
8796126576640,70368744178688,977341,728127,6836
1073745920,562958543355904,977341,728127,6836
2251799813816320,68720525312,977341,728127,6836
